class,averate,standard_deviation,skew,kurtosis,entropy
BAR,3.726847560301057,3.3852974463368137,1.5567802533396622,3.503629669791353,12.086287133724687
BAR,3.687968017456121,3.3523535568446463,1.584315574110708,3.651501355947313,12.087412077316483
BAR,3.677080829928703,3.343482990244618,1.5806460911392985,3.574931244953407,12.087432622146073
BAR,3.6544481447149075,3.3299599662915202,1.5779609325133477,3.5568604232521315,12.085106617600763
BAR,3.7260884326493553,3.4288585273567302,1.6355725820315752,3.877907347341984,12.081210352043332
BAR,3.7329396550737575,3.380430300025456,1.5699195509145683,3.536195190253671,12.089892750168907
BAR,3.629938621286855,3.2749434640805246,1.5311944641138584,3.297901130559506,12.090177650902811
BRI,2.371018871379362,2.456834669453435,2.257787674965379,8.43621709381126,12.006903487876453
BRI,2.5607778960338443,2.746502467752492,2.317052483253261,8.139289901146741,11.98930302924395
BRI,2.593305943702483,2.8404439095082474,2.454631932391583,8.993945309663006,11.980099706342806
BRI,2.4278733363088087,2.4763855726532458,2.2941122219861105,9.296769122656832,12.020000125331395
BRI,2.5972999469755056,2.816072918681923,2.4309831003297524,8.970340211706207,11.986341630339341
BRI,2.5534345757849723,2.718848250410266,2.307167967406533,8.062347316676448,11.99394695988187
BRI,2.609930457803565,2.741130645022948,2.242567520967025,7.555181221014871,12.003176661438047
BUB,3.3800254059807053,3.309370984531764,1.8250776645059348,5.317649213281779,12.033449134448057
BUB,3.2213219502332695,3.070259196168297,1.792607263042798,5.145713418607249,12.055359958995998
BUB,3.2430581781699304,3.1521774622907293,1.8604551390968533,5.688410453413415,12.041266369785872
BUB,3.4029899711226315,3.457577776223054,1.8608688980475714,5.731626906613899,11.997937609463602
BUB,3.2973758597406757,3.1701939320211743,1.769590022554789,4.932154844649137,12.046091475379999
BUB,3.27114208657107,3.1596345664547907,1.8443745178146995,5.557346828596938,12.045710561048985
BUB,3.35948699755477,3.288828010280984,1.7167703603023157,4.4937777662529275,12.025811444765313
GRA,6.137680578920666,5.845841525816284,1.3734372242732016,2.2627040636061952,12.033306598106465
GRA,6.12812091110577,5.860350055096463,1.4135363638096625,2.557525343256124,12.03164035360968
GRA,6.217419500043869,6.049929575515182,1.4373788655209432,2.6187761281707163,12.017450238317624
GRA,5.941932456712558,5.250150123996092,1.340021846874981,2.3179987557666104,12.096997088524542
GRA,5.9929923743910765,5.359001147439443,1.337882000048313,2.2543077699861573,12.08719399612596
GRA,5.919299771498762,5.287960943859779,1.3450921001276683,2.2819965118598544,12.088303797054714
GRA,5.960494844416979,5.352980891461611,1.3231476629955121,2.203571289421384,12.081590607770861
LEA,5.051140026626689,4.18697683151146,1.1735459002337596,1.4233131061168702,12.137862749516707
LEA,5.154232613497213,4.341666805885054,1.2283423021286184,1.643002010493217,12.130174836004384
LEA,5.255097408666263,4.523918190200075,1.305664907548498,2.0001740150724094,12.118534745045364
LEA,5.299695204525774,4.523859551068975,1.2692261184448046,1.8437312926192257,12.122625709207856
LEA,5.301221089252812,4.504804913624369,1.280803854666056,1.9251838019570373,12.126567233388796
LEA,5.1265835822432795,4.323359413057178,1.2483240031737282,1.83534629318366,12.129135003041316
LEA,5.094940547716323,4.248179871172806,1.1952321733919022,1.5418954941620395,12.13500998169063
PIG,2.525770285683768,2.1752754847974525,1.4377079569053748,3.845517955170182,12.104763284730655
PIG,2.562620401841743,2.210450525558602,1.4346260175751249,3.7257762284923563,12.103792246347906
PIG,2.514928874698161,2.1596640754319862,1.3508921606084505,2.870723734397737,12.104752617313931
PIG,2.4885768454622097,2.1368389651444324,1.3690606474648241,3.015760851621647,12.104982057739445
PIG,2.495943053981987,2.1558737880707493,1.4119366421850716,3.3210000411166742,12.102605068309575
PIG,2.543626951701934,2.1980914017539828,1.4204039105621464,3.3213068264506855,12.103472484726014
PIG,2.5054683893905234,2.158876655861702,1.403662321163341,3.2912829050699166,12.104094336101753
RAF,2.2641344609621465,2.0949310554146687,1.4382777108700897,2.7827861027872665,12.05299150486916
RAF,2.3979164044052292,2.24942183948987,1.4927230173497714,3.002233917604209,12.04773702374005
RAF,2.451989944419649,2.328433319894046,1.5519431039212717,3.270154789477555,12.042571717490617
RAF,2.2686472650423624,2.1203434596833017,1.492016018043165,3.0971008858509963,12.048050547475926
RAF,2.4552782260064165,2.323815168575187,1.5549312636047448,3.320251807308641,12.045138369183512
RAF,2.53590597498312,2.441998140533005,1.6527746284550804,3.8007343419076234,12.038523685897808
RAF,2.5289364964923724,2.4382527620871706,1.6651968492179539,3.9405124463838286,12.037753431036998
SAN,2.7096889865455114,2.6412009160906593,1.8023275978421691,4.953585900025697,12.038028291713072
SAN,2.7426709849204443,2.683479146273591,1.8259979969239581,5.070033365943438,12.03701150873516
SAN,2.746428476060776,2.689284372373416,1.8516681430679507,5.382770123996304,12.03666164059274
SAN,2.756461168141053,2.697737635678567,1.8460070299253024,5.309964347132896,12.037350262923376
SAN,2.7319287564420947,2.663198212784179,1.8458313734407554,5.362915389733894,12.039505040865134
SAN,2.757693320058136,2.68386263111935,1.8166032462570234,4.964518660007873,12.040571380793448
SAN,2.6784655703184903,2.59982582695829,1.7891977123892717,4.807702859367883,12.040469190483142
STR,4.421376882083443,4.205856248893099,1.6997588891954651,4.053687924002184,12.063509402011638
STR,4.359868468736529,4.177517960395041,1.7159462811928121,4.221631410638553,12.057345499450951
STR,4.192669649771308,3.962231297839286,1.7008840907843545,4.230603874321764,12.066305433418478
STR,4.717997428884235,4.478377239592763,1.6710499379513761,3.758672196348485,12.065810439844538
STR,4.57396916949909,4.299692979337172,1.6196979263423517,3.4479497682745945,12.070597746701445
STR,4.279862517786094,3.989944218580202,1.6532697422914897,3.7941250130876227,12.07652548950766
STR,3.9199635313550236,3.589144211652928,1.5071836378911467,2.977623588585959,12.080110347654132
WAT,1.8626932628374588,1.5891367631227966,1.0953196387861375,1.449708037660833,12.08679857288659
WAT,2.0299454877681264,1.7816175396100145,1.236637512090669,1.9324826456118922,12.077945882923313
WAT,2.096805941795127,1.8780750845087744,1.3899432110367034,2.750125912795574,12.072004381170167
WAT,1.9365842307442884,1.6823963408448823,1.4319872356639676,5.958927924535072,12.08329518421907
WAT,2.1748892779894944,1.9308332196175104,1.2901962010879886,2.071615249503809,12.075368483748122
WAT,2.0075454999752043,1.7783472871280934,1.3029201258318777,2.3186321663282525,12.073528076814245
WAT,2.014312798739619,1.7832198731557938,1.2712059026767237,2.061057505015129,12.073242754524086
WEA,3.070331841781013,2.6534296645515854,1.2805961605643463,2.1435919600797115,12.103681266410133
WEA,3.0871356473375218,2.6614435484484273,1.2748056906200247,2.1371623370738604,12.10539596437768
WEA,3.113960700838855,2.7000864360937435,1.3399609562517267,3.378450176349827,12.102962301977277
WEA,3.094673517889091,2.664521095501873,1.2868164695336537,2.26062534386151,12.106559488620674
WEA,3.144722536935947,2.724418509013979,1.322730088492914,2.4066743631631846,12.104409490839142
WEA,3.1387143658232337,2.734193549465259,1.3558116486732958,2.685591871470966,12.101756923696042
WEA,3.1244969348790548,2.707539620413298,1.315341281143885,2.403813152242484,12.103387759766846
WOL,2.550199700163651,2.1075802829017376,1.2083566281062714,2.3337864303132676,12.123288428378949
WOL,2.6058487161587376,2.1615350563441322,1.262775724910641,2.842644576293435,12.123276247981611
WOL,2.667410535471098,2.2187230931414748,1.2493907265512856,2.515361379210572,12.121922522107415
WOL,2.6892764636095565,2.2456269986737722,1.2680854872709104,2.5468181326069015,12.120833934975822
WOL,2.748129837531424,2.295327056739259,1.2939119859199733,2.775921641272795,12.121977261025172
WOL,2.676211075634291,2.238485876955053,1.3214665785945872,3.1752324525281317,12.12091328571168
WOL,2.6921642004554767,2.241550792573912,1.2775100712627474,2.6947031039719267,12.122758556260797
WOO,1.4631289029270285,1.5466162342439351,1.9655971135420778,7.929725282295429,11.944438744764401
WOO,2.3616461244435287,3.100652890862422,2.3173696445297973,5.972046186353479,11.804787177753086
WOO,2.3726172356309343,3.0980757353517996,2.353375559347288,6.265238832004865,11.81361108554349
WOO,1.5114155251141552,1.5808886057991904,1.8046036714112343,4.659516297146875,11.953227339044588
WOO,2.5809310185662024,3.4466876713678243,2.350271205652048,6.016259368396502,11.794297002094225
WOO,2.2479982299737165,2.861493278189401,2.2995342289908955,6.092068495635175,11.832335322875561
WOO,2.3351796538530496,2.9537139070065432,2.181582001643696,5.230327985016748,11.831926542217483
