% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {TER, SAN, FAB, CLO, FOO, FLO, LEA, WAT, STO, BAR, WHE, MIS, TIL, WOO, BUI, GRA, BRI, PAI, MET} 

@DATA 
219.0,846.0,1144.0,1043.0,977.0,895.0,812.0,793.0,797.0,785.0,759.0,771.0,725.0,786.0,751.0,784.0,835.0,788.0,725.0,662.0,487.0,0.0,752.0,1790.0,1460.0,1239.0,968.0,1007.0,968.0,860.0,846.0,825.0,786.0,834.0,769.0,786.0,712.0,590.0,506.0,401.0,220.0,62.0,3.0,0.0,1260.0,1970.0,1482.0,1155.0,1063.0,993.0,932.0,805.0,855.0,839.0,816.0,754.0,773.0,678.0,573.0,525.0,440.0,341.0,119.0,11.0,0.0,0.0,BAR
0.0,4.0,21.0,50.0,154.0,370.0,661.0,866.0,1075.0,1354.0,1665.0,1924.0,2056.0,1852.0,1669.0,1188.0,684.0,409.0,208.0,157.0,17.0,0.0,3.0,27.0,173.0,635.0,1061.0,1458.0,2029.0,2231.0,2157.0,1854.0,1587.0,1168.0,802.0,508.0,335.0,187.0,125.0,38.0,6.0,0.0,0.0,0.0,3.0,79.0,505.0,1428.0,1909.0,2074.0,1878.0,1797.0,1565.0,1362.0,1161.0,926.0,614.0,459.0,285.0,185.0,126.0,26.0,2.0,0.0,0.0,0.0,BAR
0.0,6.0,14.0,41.0,118.0,209.0,343.0,487.0,703.0,951.0,1333.0,1643.0,2044.0,2173.0,2155.0,1825.0,1298.0,807.0,230.0,4.0,0.0,0.0,4.0,32.0,161.0,396.0,639.0,954.0,1426.0,1738.0,2002.0,2121.0,1879.0,1500.0,1328.0,1021.0,759.0,378.0,46.0,0.0,0.0,0.0,0.0,0.0,14.0,111.0,556.0,1015.0,1330.0,1428.0,1566.0,1613.0,1681.0,1629.0,1492.0,1192.0,987.0,843.0,568.0,326.0,33.0,0.0,0.0,0.0,0.0,0.0,BAR
1967.0,1663.0,1463.0,1380.0,1266.0,1012.0,818.0,684.0,585.0,549.0,525.0,485.0,435.0,446.0,348.0,353.0,365.0,365.0,432.0,615.0,628.0,0.0,3164.0,2610.0,2034.0,1340.0,915.0,784.0,653.0,577.0,489.0,420.0,392.0,339.0,324.0,322.0,297.0,319.0,326.0,346.0,356.0,326.0,51.0,0.0,3959.0,3211.0,1517.0,1001.0,744.0,617.0,586.0,502.0,441.0,410.0,382.0,349.0,316.0,323.0,345.0,333.0,394.0,479.0,442.0,33.0,0.0,0.0,BAR
418.0,909.0,1184.0,1440.0,1567.0,1689.0,1654.0,1617.0,1490.0,1255.0,1051.0,830.0,599.0,379.0,200.0,89.0,12.0,1.0,0.0,0.0,0.0,0.0,1122.0,1476.0,1929.0,1895.0,1896.0,1828.0,1597.0,1335.0,1183.0,887.0,557.0,371.0,222.0,76.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,1620.0,2011.0,2073.0,2001.0,1839.0,1590.0,1336.0,1040.0,709.0,484.0,300.0,156.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BAR
1507.0,2473.0,2139.0,1857.0,1815.0,1467.0,1308.0,1117.0,960.0,731.0,458.0,293.0,180.0,64.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3205.0,2758.0,2322.0,2083.0,1629.0,1603.0,1207.0,723.0,429.0,237.0,127.0,48.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.0,3556.0,2478.0,2332.0,1884.0,1538.0,1004.0,595.0,321.0,161.0,108.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAR
281.0,906.0,1864.0,2678.0,2703.0,2310.0,1873.0,1421.0,973.0,610.0,374.0,244.0,99.0,30.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,566.0,2137.0,4118.0,3503.0,2313.0,1655.0,1037.0,538.0,277.0,169.0,59.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,3052.0,4009.0,3137.0,2188.0,1379.0,860.0,421.0,226.0,124.0,53.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAR
1994.0,2041.0,998.0,750.0,729.0,753.0,761.0,865.0,899.0,1011.0,963.0,972.0,903.0,753.0,564.0,399.0,334.0,244.0,215.0,167.0,69.0,0.0,2834.0,1631.0,1121.0,1059.0,1089.0,1182.0,1243.0,1207.0,1186.0,1056.0,819.0,626.0,411.0,309.0,203.0,179.0,120.0,72.0,29.0,8.0,0.0,0.0,1565.0,2752.0,1628.0,1535.0,1541.0,1585.0,1370.0,1184.0,937.0,644.0,487.0,336.0,262.0,177.0,137.0,108.0,75.0,37.0,17.0,6.0,1.0,0.0,BAR
0.0,0.0,44.0,97.0,173.0,318.0,853.0,1538.0,2162.0,2370.0,2155.0,1713.0,1450.0,1144.0,797.0,622.0,419.0,284.0,161.0,61.0,22.0,1.0,0.0,5.0,79.0,152.0,270.0,572.0,1482.0,2584.0,2964.0,2400.0,1934.0,1321.0,954.0,645.0,433.0,290.0,169.0,81.0,31.0,16.0,2.0,0.0,0.0,31.0,151.0,247.0,504.0,1286.0,2330.0,2982.0,2641.0,2127.0,1470.0,1028.0,631.0,434.0,270.0,153.0,57.0,30.0,9.0,2.0,1.0,0.0,BAR
0.0,0.0,9.0,262.0,781.0,1300.0,1676.0,1847.0,1587.0,1283.0,1074.0,1013.0,928.0,919.0,893.0,788.0,671.0,568.0,381.0,252.0,125.0,27.0,0.0,0.0,91.0,572.0,1176.0,1674.0,1932.0,1904.0,1594.0,1327.0,1162.0,1005.0,972.0,827.0,676.0,583.0,405.0,240.0,129.0,75.0,35.0,5.0,0.0,15.0,475.0,1234.0,1511.0,1694.0,1703.0,1595.0,1435.0,1328.0,1124.0,1099.0,928.0,756.0,625.0,407.0,222.0,119.0,69.0,34.0,11.0,0.0,BAR
